Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
 Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
South Africa|De Jure||De Jure (Pretoria)|dejure|2225-7160|2225-7160|1466-3597|Pretoria University Law Press
Brazil|DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada||DELTA|delta|0102-4450|0102-4450|1678-460X|Pontifícia Universidade Católica de São Paulo - PUC-SP|by-nc/4.0
Brazil|Dementia & Neuropsychologia||Dement. neuropsychol.|dn|1980-5764|1980-5764||Associação de Neurologia Cognitiva e do Comportamento|by/4.0
Brazil|Dental Press Journal of Orthodontics|Dental Press J Orthod|Dental Press J. Orthod.|dpjo|2176-9451|2176-9451|2177-6709|Dental Press International|by/4.0
Mexico|Desacatos||Desacatos|desacatos|1405-9274|1405-9274|1607-050X|Centro de Investigaciones y Estudios Superiores en Antropología Social|by-nc/3.0
Colombia|Desafíos||Desafíos|desa|0124-4035|0124-4035||Centro de Estudios Políticos e Internacionales, Facultades de Ciencia Política y Gobierno y de Relaciones Internacionales de la Universidad Colegio Mayor de Nuestra Señora del Rosario.|by/4.0
Social Sciences|Desarrollo Económico (Buenos Aires)||Desarro. econ. (B. Aires)|s_rde|0046-001X|0046-001X||Instituto de Desarrollo Económico y Social|by-nc/4.0
Colombia|Desarrollo y Sociedad||Desarro. soc.|dys|0120-3584|0120-3584||Universidad de los Andes
Pepsic|Desidades||Desidades|desi|2318-9282||2318-9282|Universidade Federal do Rio de Janeiro|by-nc/4.0
Argentina|Diaeta||Diaeta|diaeta|1852-7337||1852-7337|Asociación Argentina de Dietistas y Nutricionistas Dietista|by-nc/4.0
Colombia|Dimensión Empresarial||Dimens.empres.|diem|1692-8563|1692-8563||Universidad Autónoma del Caribe, Facultad de Ciencias Administrativas, económicas y Contables
Colombia|Discusiones Filosóficas||discus.filos|difil|0124-6127|0124-6127||Vicerrectoría de Investigaciones y Postgrados, Universidad de Caldas
Pepsic|Distúrbios da Comunicação||Distúrb. comun.|dic|0102-762X||0102-762X|Pontifícia Universidade Católica de São Paulo
Pepsic|Diversitas||Diversitas|diver|1794-9998|1794-9998||Universidad Santo Tomás|by-nc/4.0
Colombia|Diversitas: Perspectivas en Psicología||Divers.: Perspect. Psicol.|dpp|1794-9998|1794-9998||Universidad Santo Tomás
Chile|Diálogo andino||Diálogo Andino|rda|0719-2681||0719-2681|Universidad de Tarapacá. Departamento de Ciencias Históricas y Geográficas|by-nc/4.0
Costa Rica|Diálogos Revista Electrónica de Historia||Diálogos rev. electr. hist|dreh|1409-469X||1409-469X|Escuela de Historia. Universidad de Costa Rica|by-nc/3.0
Mexico|Diánoia||Diánoia|dianoia|0185-2450|0185-2450||Instituto de Investigaciones Filosóficas, UNAM|by-nc/3.0
Portugal|DOC On-line||DOC On-line|doc|1646-477X||1646-477X|Universidade da Beira Interior
Argentina|Documentos y aportes en administración pública y gestión estatal||Doc. aportes adm. pública gest. estatal|daapge|1851-3727||1851-3727|Magister en Administración Pública, Facultad de Ciencias Económicas, Universidad Nacional del Litoral|by-nc/4.0
Colombia|DYNA||Dyna rev.fac.nac.minas|dyna|0012-7353|0012-7353||Universidad Nacional de Colombia|by/4.0
Spain|Dynamis|Dynamis|Dynamis|dyn|0211-9536|0211-9536||Universidad de Granada|by-nc/4.0
Colombia|Díkaion Revista de Fundamentación Jurídica||Díkaion|dika|0120-8942|0120-8942||Universidad de la Sabana
Portugal|e-Journal of Portuguese History||e-JPH|ejph|1645-6432||1645-6432|Universidade do Porto|by-nc/4.0
Colombia|Earth Sciences Research Journal||Earth Sci. Res. J.|esrj|1794-6190|1794-6190||Universidad Nacional de Colombia|by/4.0
Brazil|Eclética Química||Eclet. Quím.|eq|0100-4670|0100-4670|1678-4618|Fundação Editora da Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP|by-nc/4.0
Peru|Ecología Aplicada||Ecol. apl.|ecol|1726-2216|1726-2216||Universidad Nacional Agraria La Molina. Departamento Académico de Biología|by-nc/4.0
Argentina|Ecología austral||Ecol. austral|ecoaus|1667-782X||1667-782X|Asociación Argentina de Ecología|by-nc/4.0
Bolivia|Ecología en Bolivia||Ecología en Bolivia|reb|1605-2528|1605-2528|2075-5023|Plural Editores|by-nc-sa/4.0
Brazil|Economia Aplicada||Econ. Apl.|ecoa|1413-8050|1413-8050|1980-5330|Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto da Universidade de São Paulo|by-nc/4.0
Brazil|Economia e Sociedade||Econ. soc.|ecos|0104-0618|0104-0618|1982-3533|Instituto de Economia da Universidade Estadual de Campinas|by-nc/4.0
Portugal|Economia Global e Gestão||Economia Global e Gestão|egg|0873-7444|0873-7444||ISCTE-IUL Business School
Mexico|Economía mexicana. Nueva época||Econ. mex. Nueva época|emne|1665-2045|1665-2045||Centro de Investigación y Docencia Económicas|by-nc/3.0
Mexico|Economía UNAM||Economía UNAM|eunam|1665-952X|1665-952X||Universidad Nacional Autónoma de México, Facultad de Economía|by-nc/3.0
Cuba|Economía y Desarrollo||Econ. y Desarrollo|eyd|0252-8584||0252-8584|Dirección de Publicaciones Académicas de la Universidad de La Habana (Editorial UH)|by-nc/4.0
Mexico|Economía, sociedad y territorio||Econ. soc. territ|est|1405-8421|1405-8421||El Colegio Mexiquense A.C.|by-nc/3.0
Mexico|Economía: teoría y práctica||Econ: teor. práct|etp|0188-3380|0188-3380||UAM, Unidad Iztapalapa, Departamento de Economía|by-nc/3.0
Mexico|EconoQuantum||EconoQuantum|ecoqu|1870-6622|1870-6622||Universidad de Guadalajara|by-nc/3.0
Colombia|Ecos de Economía||ecos.econ.|ecos|1657-4206|1657-4206||Universidad EAFIT|by/4.0
Mexico|Ecosistemas y recursos agropecuarios||Ecosistemas y recur. agropecuarios|era|2007-9028|2007-9028|2007-901X|Universidad Juárez Autónoma de Tabasco, Dirección de Investigación y Posgrado|by-nc/3.0
Argentina|Educación Física y Ciencia||Educ. fís. cienc.|efyc|2314-2561||2314-2561|Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata|by-nc/4.0
Mexico|Educación matemática||Educ. mat|ed|1665-5826|1665-5826||Editorial Santillana|by-nc/3.0
Cuba|Educación Médica Superior||Educ Med Super|ems|0864-2141|0864-2141|1561-2902|Editorial Ciencias Médicas|by-nc/4.0
Spain|Educación Médica||Educ. méd.|edu|1575-1813|1575-1813||Fundación Educación Médica
Mexico|Educación química||Educ. quím|eq|0187-893X|0187-893X||Universidad Nacional Autónoma de México, Facultad de Química|by-nc/3.0
Colombia|Educación y Educadores||educ.educ.|eded|0123-1294|0123-1294||Universidad de La Sabana
Argentina|Educación, lenguaje y sociedad||Educ. leng. soc.|edu|1668-4753|1668-4753||Instituto para el Estudio de la Educación, el Lenguaje y la Sociedad de la Facultad de Ciencias Humanas|by-nc/4.0
Brazil|Educar em Revista||Educ. rev.|er|0104-4060|0104-4060|1984-0411|Setor de Educação da Universidade Federal do Paraná|by-nc/4.0
Brazil|Educação & Realidade||Educ. Real.|edreal|2175-6236||2175-6236|Universidade Federal do Rio Grande do Sul - Faculdade de Educação|by/4.0
Brazil|Educação & Sociedade||Educ. Soc.|es|0101-7330|0101-7330|1678-4626|Centro de Estudos Educação e Sociedade - Cedes|by-nc/4.0
Brazil|Educação e Pesquisa||Educ. Pesqui.|ep|1517-9702|1517-9702|1678-4634|Faculdade de Educação da Universidade de São Paulo|by-nc/4.0
Brazil|Educação em Revista||Educ. rev.|edur|0102-4698|0102-4698|1982-6621|Faculdade de Educação da Universidade Federal de Minas Gerais|by/4.0
Venezuela|Educere||Educere|edu|1316-4910|1316-4910||Universidad de los Andes
Cuba|EDUMECENTRO||EDUMECENTRO|edu|2077-2874||2077-2874|Universidad de Ciencias Médicas de Villa Clara|by-nc/4.0
Colombia|Eidos||Eidos|eidos|1692-8857|1692-8857|2011-7477|Fundación Universidad del Norte
Brazil|Einstein (São Paulo)|Einstein (Sao Paulo)|Einstein (São Paulo)|eins|1679-4508|1679-4508|2317-6385|Instituto Israelita de Ensino e Pesquisa Albert Einstein|by/4.0
Argentina|El hornero||Hornero|hornero|0073-3407|0073-3407|1850-4884|Aves Argentinas/Asociación Ornitológica del Plata|by-nc/4.0
Colombia|El Ágora U.S.B.||Ágora U.S.B.|agor|1657-8031|1657-8031||Universidad de San Buenaventura
Chile|Electronic Journal of Biotechnology||Electron. J. Biotechnol.|ejb|0717-3458||0717-3458|Pontificia Universidad Católica de Valparaíso and CONICYT|by/4.0
Mexico|En-claves del pensamiento||En-clav. pen|enclav|1870-879X|1870-879X||Instituto Tecnológico y de Estudios Superiores de Monterrey, División de Humanidades y Ciencias Sociales|by-nc/3.0
Pepsic|Encontro||Encontro|encontro|1676-5478|1676-5478||Centro Universitário de Santo André|by-nc/4.0
Colombia|Encuentros||Encuentros|encu|1692-5858|1692-5858||Universidad Autónoma del Caribe, Facultad de Ciencias Sociales y Humanas
Spain|Ene||Ene.|ene|1988-348X||1988-348X|Martín Rodríguez Álvaro|by/4.0
Spain|Enfermería Global||Enferm. glob.|eg|1695-6141||1695-6141|Universidad de Murcia
Spain|Enfermería Nefrológica||Enferm Nefrol|enefro|2254-2884|2254-2884||Sociedad Española de Enfermería Nefrológica|by-nc/4.0
Mexico|Enfermería universitaria||Enferm. univ|eu|1665-7063|1665-7063|2395-8421|Universidad Nacional Autónoma de México, Escuela Nacional de Enfermería y Obstetricia|by-nc/3.0
Argentina|Enfoques||Enfoques|enfoques|1669-2721||1669-2721|Dirección Editorial UAP, Universidad Adventista del Plata|by-nc/4.0
Brazil|Engenharia Agrícola||Eng. Agríc.|eagri|0100-6916|0100-6916|1809-4430|Associação Brasileira de Engenharia Agrícola|by/4.0
Brazil|Engenharia Sanitaria e Ambiental||Eng. Sanit. Ambient.|esa|1413-4152|1413-4152|1809-4457|Associação Brasileira de Engenharia Sanitária e Ambiental - ABES|by/4.0
Venezuela|Enlace||Enlace|enl|1690-7515|1690-7515||Universidad del Zulia
Brazil|Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)||Ens. Pesqui. Educ. Ciênc. (Belo Horizonte)|epec|1983-2117||1983-2117|Faculdade de Educação da Universidade Federal de Minas Gerais|by/4.0
Brazil|Ensaio: Avaliação e Políticas Públicas em Educação||Ensaio: aval.pol.públ.Educ.|ensaio|0104-4036|0104-4036|1809-4465|Fundação CESGRANRIO|by-nc/4.0
Colombia|Ensayos sobre POLÍTICA ECONÓMICA||Ens. polit. econ.|espe|0120-4483|0120-4483||Banco de la República
Brazil|Entomología y Vectores||Entomol. vectores|ev|0328-0381|0328-0381|1980-5349|Editora Gama Filho|by-nc/4.0
Colombia|Entramado||Entramado|entra|1900-3803|1900-3803||Universidad Libre de Cali|by/4.0
Brazil|Epidemiologia e Serviços de Saúde||Epidemiol. Serv. Saúde|ress|2237-9622||2237-9622|Secretaria de Vigilância em Saúde - Ministério da Saúde do Brasil|by-nc/4.0
Public Health|Epidemiologia e Serviços de Saúde||Epidemiol. Serv. Saúde|ress|2237-9622|2237-9622|1679-4974|Ministério da Saúde do Brasil|by-nc/3.0
Venezuela|EPISTEME||EPISTEME|epi|0798-4324|0798-4324||INSTITUTO DE FILOSOFIA UCV
Pepsic|Epistemo-somática||Epistemo-somática|epistemo|1980-2005|1980-2005||Clínica de Psicologia e Psicanálise do Hospital Mater Dei|by-nc/4.0
Venezuela|Ernstia||Ernstia|ern|0252-8274|0252-8274||Universidad Central de Venezuela
Argentina|Escenarios||Escenarios|esce|1666-3942|1666-3942||Espacio Editorial|by-nc/4.0
Brazil|Escola Anna Nery||Esc. Anna Nery|ean|1414-8145|1414-8145|2177-9465|Universidade Federal do Rio de Janeiro|by/4.0
Mexico|Escritos (Puebla)||Escritos (Puebla)|escritos|0188-6126|0188-6126||Benemérita Universidad Autónoma de Puebla, Centro de Ciencias del Lenguaje|by-nc/3.0
Spain|Escritos de Psicología (Internet)||Escritos de Psicología|ep|1989-3809||1989-3809|Universidad de Málaga|by-nc/4.0
Pepsic|Escritos sobre Educação||Escritos educ.|eeduc|1677-9843|1677-9843||Fundação Helena Antipoff. Instituto Anísio Teixeira|by-nc/4.0
Colombia|Escritos||Escritos - Fac. Filos. Let. Univ. Pontif. Bolivar.|esupb|0120-1263|0120-1263||Universidad Pontificia Bolivariana|by-nc/4.0
Argentina|Espacios en blanco. Serie indagaciones||Espac. blanco, Ser. indagaciones|eb|1515-9485|1515-9485|2313-9927|Núcleo de Estudios Educacionales y Sociales; Facultad de Ciencias Humanas; Universidad Nacional del Centro de la Provincia de Buenos Aires|by-nc/4.0
Mexico|Espiral (Guadalajara)||Espiral (Guadalaj.)|espiral|1665-0565|1665-0565||Universidad de Guadalajara, Centro Universitario de Ciencias Sociales y Humanidades|by-nc/3.0
Pepsic|Estilos da Clinica||Estilos clin.|estic|1415-7128|1415-7128||Instituto de Psicologia da Universidade de São Paulo|by-nc/4.0
Argentina|Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba||Estud. - Cent. Estud. Av., Univ. Nac. Córdoba|ecea|1852-1568||1852-1568|Centro de Estudios Avanzados, Universidad Nacional de Córdoba|by-nc/4.0
Chile|Estudios atacameños||Estud. atacam.|eatacam|0718-1043||0718-1043|Universidad Católica del Norte. Instituto de Investigaciones Arqueológicas y Museo R. P. Gustavo Le Paige|by-nc/4.0
Chile|Estudios constitucionales||Estudios constitucionales|estconst|0718-5200||0718-5200|Universidad de Talca. Centro de Estudios Constitucionales|by-nc/4.0
Mexico|Estudios de cultura maya||Estud. cult. maya|ecm|0185-2574|0185-2574||UNAM, Instituto de Investigaciones Filológicas|by-nc/3.0
Mexico|Estudios de cultura náhuatl||Estud. cult. náhuatl|ecn|0071-1675|0071-1675||Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas|by-nc/3.0
Chile|Estudios de economía||Estudios de Economía|ede|0718-5286||0718-5286|Universidad de Chile. Departamento de Economía|by-nc/4.0
Argentina|Estudios de filosofía práctica e historia de las ideas||Estud. filos. práct. hist. ideas|efphi|1851-9490||1851-9490|Instituto de Ciencias Sociales, Humanas y Ambientales, CRICYT, CONICET|by-nc/4.0
Colombia|Estudios de Filosofía||Estud.filos|ef|0121-3628|0121-3628||Instituto de Filosofía, Universidad de Antioquia.
Mexico|Estudios de historia moderna y contemporánea de México||Estud. hist. mod. contemp. Mex|ehmcm|0185-2620|0185-2620||Instituto de Investigaciones Históricas, UNAM|by-nc/3.0
Mexico|Estudios de historia novohispana||Estud. hist. novohisp|ehn|0185-2523|0185-2523||Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas|by-nc/3.0
Mexico|Estudios demográficos y urbanos de El Colegio de México||Estud. demogr. urbanos Col. Méx.|educm|0186-7210|0186-7210||El Colegio de México|by-nc/3.0
Chile|Estudios filológicos||Estud. filol.|efilolo|0071-1713|0071-1713||Facultad de Filosofía y Humanidades de la Universidad Austral de Chile.|by-nc/4.0
Mexico|Estudios fronterizos||Estud. front|estfro|0187-6961|0187-6961||Universidad Autónoma de Baja California|by-nc/3.0
Colombia|Estudios Gerenciales||estud.gerenc.|eg|0123-5923|0123-5923||Universidad Icesi
Chile|Estudios internacionales (Santiago)||Estud. int. (Santiago, en línea)|rei|0719-3769||0719-3769|Instituto de Estudios Internacionales, Universidad de Chile|by-nc/4.0
Chile|Estudios pedagógicos (Valdivia)||Estud. pedagóg.|estped|0718-0705||0718-0705|Universidad Austral de Chile. Facultad de Filosofía y Humanidades|by/4.0
Mexico|Estudios políticos (México)||Estud. polít. (Méx.)|ep|0185-1616|0185-1616||Universidad Nacional Autónoma de México, Facultad de Ciencias Políticas y Sociales, Centro de Estudios Políticos|by-nc/3.0
Colombia|Estudios Políticos||Estud. polit., Medellín|espo|0121-5167|0121-5167||Universidad de Antioquia
Mexico|Estudios sociales (Hermosillo, Son.)||Estud. soc|estsoc|0188-4557|0188-4557||Centro de Investigación en Alimentación y Desarrollo, A. C.|by-nc/3.0
Argentina|Estudios sociales (Santa Fe)||Estud. soc. (Santa Fe)|es|0327-4934|0327-4934||Universidad Nacional del Litoral, Secretaría de Extensión|by-nc/4.0
Colombia|Estudios Socio-Jurídicos||Estud. Socio-Juríd|esju|0124-0579|0124-0579||Universidad del Rosario|by/4.0
Argentina|Estudios Socioterritoriales||Estudios Socioterritoriales|esso|1853-4392||1853-4392|Centro de Investigaciones Geográficas CIG-Instituto de Geografía, Historia y Ciencias Sociales CIG-IGEHCS CONICET/UNCPBA|by-nc/4.0
Argentina|Estudios y perspectivas en turismo||Estud. perspect. tur.|eypt|1851-1732||1851-1732|Centro de Investigaciones y Estudios Turísticos|by-nc/4.0
Brazil|Estudos Afro-Asiáticos||Estud. afro-asiát.|eaa|0101-546X|0101-546X|1678-4650|Universidade Cândido Mendes|by-nc/4.0
Brazil|Estudos Avançados||Estud. av.|ea|0103-4014|0103-4014|1806-9592|Instituto de Estudos Avançados da Universidade de São Paulo|by-nc/4.0
Brazil|Estudos de Literatura Brasileira Contemporânea||Estud. Lit. Bras. Contemp.|elbc|2316-4018||2316-4018|Grupo de Estudos em Literatura Brasileira Contemporânea|by-nc/4.0
Pepsic|Estudos de Psicanálise||Estud. psicanal.|ep|0100-3437|0100-3437||Circulo Brasileiro de Psicanálise. Círculo Psicanalítico de Minas Gerais|by-nc/4.0
Brazil|Estudos de Psicologia (Campinas)||Estud. psicol. (Campinas)|estpsi|0103-166X|0103-166X|1982-0275|Programa de Pós-Graduação em Psicologia, Pontifícia Universidade Católica de Campinas|by-nc/4.0
Pepsic|Estudos de Psicologia (Campinas)||Estud. psicol. (Campinas)|epc|0103-166X|0103-166X||PUC-Campinas|by-nc/4.0
Brazil|Estudos de Psicologia (Natal)||Estud. psicol. (Natal)|epsic|1413-294X|1413-294X|1678-4669|Programa de Pós-graduação em Psicologia, Universidade Federal do Rio Grande do Norte|by-nc/4.0
Pepsic|Estudos de Psicologia (Natal)||Estud. psicol. (Natal)|epsic|1413-294X|1413-294X||PPgPsi-UFRN
Pepsic|Estudos e Pesquisas em Psicologia||Estud. pesqui. psicol.|epp|1808-4281||1808-4281|Universidade do Estado do Rio de Janeiro. Instituto de Psicologia|by-nc/4.0
Brazil|Estudos Econômicos (São Paulo)||Estud. Econ.|ee|0101-4161|0101-4161|1980-5357|Faculdade de Economia, Administração e Contabilidade da Universidade de São Paulo (FEA-USP)|by-nc/4.0
Portugal|Estudos em Comunicação||ecom|ecom|1646-4974||1646-4974|Universidade da Beira Interior|by-nc/4.0
Social Sciences|Estudos Feministas||Estud. fem.|s_ref|0104-026X|0104-026X||Centro de Filosofia e Ciências Humanas e Centro de Comunicação e Expressão da Universidade Federal de Santa Catarina|by-nc/4.0
Brazil|Estudos Históricos (Rio de Janeiro)||Estud. hist. (Rio J.)|eh|0103-2186|0103-2186|2178-1494|Centro de Pesquisa e Documentação de História Contemporânea do Brasil da Fundação Getúlio Vargas|by-nc/4.0
Pepsic|Estudos Interdisciplinares em Psicologia||Est. Inter. Psicol.|eip|2236-6407||2236-6407|Universidade Estadual de Londrina|by-nc/4.0
Social Sciences|Estudos Sociedade e Agricultura||Estud.soc.agric.|s_esaa|1413-0580|1413-0580||Universidade Federal Rural do Rio de Janeiro|by-nc/4.0
Portugal|Etnográfica||Etnográfica|etn|0873-6561|0873-6561||Centro em Rede de Investigação em Antropologia - CRIA|by-nc/4.0
Chile|EURE (Santiago)||EURE (Santiago)|eure|0250-7161|0250-7161||Pontificia Universidad Católica de Chile<br>Facultad de Arquitectura, Diseño y Estudios Urbanos<br> Instituto de Estudios Urbanos y Territoriales|by-nc/4.0
Pepsic|Eureka (Asunción) en Línea||Eureka|eureka|2220-9026||2220-9026|Universidad Católica de Asunción, Facultad de Filosofía y Ciencias Humanas|by-nc/4.0
Portugal|Ex aequo||Ex aequo|aeq|0874-5560|0874-5560||Associação Portuguesa de Estudos sobre as Mulheres - APEM|by-nc/4.0
Colombia|Facultad de Ingeniería||Fac. Ing.|rfing|0121-1129|0121-1129||Universidad Pedagógica y Tecnológica de Colombia|by/4.0
Pepsic|Família e Comunidade||Fam. comunidade|fc|1806-6631|1806-6631||Pontifícia Universidade Católica de São Paulo
Spain|Farmacia Hospitalaria||Farm Hosp.|fh|1130-6343|1130-6343||Aula Médica Ediciones (Grupo Aula Médica S.L.)|by/4.0
Argentina|Fave. Sección ciencias agrarias||FAVE. Secc. Cienc. agrar.|fave|1666-7719|1666-7719||Universidad Nacional del Litoral. Facultad de Ciencias Agrarias|by-nc/4.0
Spain|FEM: Revista de la Fundación Educación Médica||FEM (Ed. impresa)|fem|2014-9832|2014-9832||Fundación Educación Médica y Viguera Editores, S.L.
Portugal|Finisterra - Revista Portuguesa de Geografia||Finisterra|fin|0430-5027|0430-5027||Centro de Estudos Geográficos|by-nc/4.0
Brazil|Fisioterapia e Pesquisa||Fisioter. Pesqui.|fp|1809-2950|1809-2950|2316-9117|Universidade de São Paulo|by/4.0
Brazil|Fisioterapia em Movimento||Fisioter. mov.|fm|0103-5150|0103-5150|1980-5918|Pontifícia Universidade Católica do Paraná|by/4.0
Brazil|Fitopatologia Brasileira||Fitopatol. bras.|fb|0100-4158|0100-4158|1678-4677|Sociedade Brasileira de Fitopatologia|by-nc/4.0
Cuba|Fitosanidad||Fitosanidad|fit|1562-3009|1562-3009|1818-1686|CIDISAV|by-nc/4.0
Brazil|Floresta e Ambiente||Floresta Ambient.|floram|2179-8087||2179-8087|Instituto de Florestas da Universidade Federal Rural do Rio de Janeiro|by/4.0
Argentina|Folia Histórica del Nordeste||Folia|folia|0325-8238|0325-8238||Instituto de Investigaciones Geo-Históricas- Conicet|by-nc/4.0
Colombia|Folios||Folios|folios|0123-4870|0123-4870||Universidad Pedagógica Nacional
Brazil|Food Science and Technology (Campinas)||Food Sci. Technol (Campinas)|cta|0101-2061|0101-2061|1678-457X|Sociedade Brasileira de Ciência e Tecnologia de Alimentos|by-nc/4.0
Colombia|Forma y Función||Forma funcion, Santaf, de Bogot, D.C.|fyf|0120-338X|0120-338X||Universidad Nacional de Colombia.|by/4.0
Chile|Formación universitaria||Form. Univ.|formuniv|0718-5006||0718-5006|Centro de Información Tecnológica|by-nc/4.0
Portugal|Forúm Sociológico||Forúm Sociológico|fs|0872-8380|0872-8380||IEDS/Fórum Sociológico (FCSH-UNL)
Brazil|Fractal : Revista de Psicologia||Fractal, Rev. Psicol.|fractal|1984-0292||1984-0292|Universidade Federal Fluminense, Departamento de Psicologia|by/4.0
Colombia|Franciscanum. Revista de las Ciencias del Espíritu||Franciscanum|frcn|0120-1468|0120-1468||Universidad de San Buenaventura|by/4.0
Mexico|Frontera norte||Frontera norte|fn|0187-7372|0187-7372||El Colegio de la Frontera Norte|by-nc/3.0
Venezuela|Frónesis||Frónesis|frone|1315-6268|1315-6268||Instituto de Filosofía del Derecho "Dr. José M. Delgado Ocando" Facultad de Ciencias Jurídicas y Políticas - Universidad del Zulia - Maracaibo - Venezuela.
South Africa|Fundamina||Fundamina (Pretoria)|funda|1021-545X|1021-545X|2411-7870|Southern African Society of Legal Historians and Unisa Press
Venezuela|Gaceta Laboral||Gaceta Laboral|gl|1315-8597|1315-8597||Publicación del
Bolivia|Gaceta Médica Boliviana||Gac Med Bol|gmb|1012-2966||1012-2966|Facultad de Medicina de la Universidad Mayor de San Simón|by-nc-sa/4.0
Venezuela|Gaceta Médica de Caracas||Gac Méd Caracas.|gmc|0367-4762|0367-4762||ATEPROCA
Mexico|Gaceta médica de México||Gac. Méd. Méx|gmm|0016-3813|0016-3813||Academia Nacional de Medicina de México, A.C.|by-nc/3.0
Cuba|Gaceta Médica Espirituana||Gac Méd Espirit|gme|1608-8921||1608-8921|Centro Provincial de Información de Ciencias Médicas de la Universidad de Ciencias Médicas Dr. Faustino Pérez Hernández  Sancti Spíritus|by-nc/4.0
Public Health|Gaceta Sanitaria||Gac Sanit|gs|0213-9111|0213-9111||Ediciones Doyma, S.L.|by-nc/3.0
Spain|Gaceta Sanitaria|Gac Sanit|Gac Sanit|gs|0213-9111|0213-9111||Sociedad Española de Salud Pública y Administración Sanitaria (SESPAS)
Brazil|Galáxia (São Paulo)||Galáxia (São Paulo)|gal|1982-2553||1982-2553|Programa de Estudos Pós-graduados em Comunicação e Semiótica - PUC-SP|by-nc/4.0
Chile|Gayana (Concepción)||Gayana (Concepc.)|gayana|0717-6538||0717-6538|Universidad de Concepción.<br>Facultad de Ciencias Naturales y Oceanográficas.|by-nc/4.0
Chile|Gayana. Botánica||Gayana Bot.|gbot|0717-6643||0717-6643|Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción|by-nc/4.0
Portugal|GE-Portuguese Journal of Gastroenterology||GE Port J Gastroenterol|ges|2341-4545|2341-4545||Sociedade Portuguesa de Gastrenterologia|by-nc/4.0
Venezuela|Gen||Gen|gen|0016-3503|0016-3503||Sociedad Venezolana de Gastroentereología
Brazil|Genetics and Molecular Biology||Genet. Mol. Biol.|gmb|1415-4757|1415-4757|1678-4685|Sociedade Brasileira de Genética|by/4.0
Argentina|Geoacta||Geoacta|geoacta|1852-7744||1852-7744|Asociación Argentina de Geofísicos y Geodestas|by-nc/4.0
Mexico|Geofísica internacional||Geofís. Intl|geoint|0016-7169|0016-7169||Instituto de Geofísica, UNAM|by-nc/3.0
Pepsic|Gerais : Revista Interinstitucional de Psicologia||Gerais, Rev. Interinst. Psicol.|gerais|1983-8220||1983-8220|Universidade Federal de Juiz de Fora|by-nc/4.0
Spain|Gerokomos||Gerokomos|geroko|1134-928X|1134-928X||Idemm Farma, S.L.
Mexico|Gestión y política pública||Gest. polít. pública|gpp|1405-1079|1405-1079||Centro de Investigación y Docencia Económicas, División de Administración Pública|by-nc/3.0
Brazil|Gestão & Produção||Gest. Prod.|gp|0104-530X|0104-530X|1806-9649|Universidade Federal de São Carlos|by/4.0
Colombia|Hacia la Promoción de la Salud||Hacia promoc. Salud|hpsal|0121-7577|0121-7577||Universidad de Caldas. Vicerrectoría de Investigaciones y Postgrados
Colombia|Hallazgos||Hallazgos|hall|1794-3841|1794-3841||Universidad Santo Tomás
South Africa|Health SA Gesondheid (Online)||Health SA Gesondheid (Online)|hsa|2071-9736|2071-9736|1025-9848|AOSIS Publishing|by-nc/4.0
Mexico|Hidrobiológica||Hidrobiológica|hbio|0188-8897|0188-8897||UAM, Unidad Iztapalapa,|by-nc/3.0
Colombia|HiSTOReLo. Revista de Historia Regional y Local||Historelo.rev.hist.reg.local|histo|2145-132X||2145-132X|Universidad Nacional de Colombia|by/4.0
Chile|Historia (Santiago)||Historia (Santiago)|historia|0717-7194||0717-7194|Instituto de Historia<br> Pontificia Universidad Católica de Chile|by-nc/4.0
Social Sciences|Historia (Santiago)||Historia (Santiago)|s_rh|0717-7194||0717-7194|Instituto de Historia de la Pontificia Universidad Católica de Chile|by-nc/4.0
Colombia|Historia Caribe||Hist. Caribe|hisca|0122-8803|0122-8803||Universidad del Atlántico|by-nc/4.0
Colombia|Historia Crítica||hist.crit.|rhc|0121-1617|0121-1617||Departamento de Historia, Facultad de Ciencias Sociales, Universidad de los Andes
Argentina|Historia de la educación - anuario||Hist. educ. anu.|histed|2313-9277||2313-9277|Sociedad Argentina de Historia de la Educacion.|by-nc/4.0
Mexico|Historia y grafía||Hist. graf|hg|1405-0927|1405-0927||Universidad Iberoamericana, Departamento de Historia|by-nc/3.0
South Africa|Historia||Historia|hist|0018-229X|0018-229X|2309-8392|Historical Association of South Africa
Brazil|História (São Paulo)||História|his|0101-9074|0101-9074|1980-4369|Universidade Estadual Paulista Julio de Mesquita Filho|by/4.0
